,film_id,genre,image,bdd
0,4996,family,https://a.ltrbxd.com/resized/film-poster/1/8/8/9/1889-colorful-0-230-0-345-crop.jpg?v=1c01674a6a,Apprentissage
1,4962,family,https://a.ltrbxd.com/resized/film-poster/1/1/3/2/8/4/113284-inside-out-0-230-0-345-crop.jpg?v=de03b9b6ef,Apprentissage
2,4951,family,https://a.ltrbxd.com/resized/film-poster/4/0/7/0/9/40709-the-golden-voyage-of-sinbad-0-230-0-345-crop.jpg?v=a493282f22,Test
3,4942,family,https://a.ltrbxd.com/resized/film-poster/4/5/1/7/7/45177-journey-to-the-center-of-the-earth-0-230-0-345-crop.jpg?v=57dd27945e,Evaluation
4,4928,family,https://a.ltrbxd.com/resized/film-poster/3/9/8/6/3/39863-those-happy-days-0-230-0-345-crop.jpg?v=4c333c2a74,Apprentissage
5,4842,family,https://a.ltrbxd.com/resized/film-poster/3/7/5/7/2/37572-jungle-book-0-230-0-345-crop.jpg?v=0e3f2487d5,Apprentissage
6,4809,family,https://a.ltrbxd.com/resized/film-poster/4/9/6/5/9/2/496592-encanto-0-230-0-345-crop.jpg?v=3fbb07bf26,Test
7,4781,family,https://a.ltrbxd.com/resized/sm/upload/hu/db/3b/mm/q6WZxPlic8hpKzCxnzWOFCCLQfo-0-230-0-345-crop.jpg?v=d5c2ad9fb4,Apprentissage
8,4766,family,https://a.ltrbxd.com/resized/film-poster/1/9/2/4/1/0/192410-zootopia-0-230-0-345-crop.jpg?v=e22eae9a2a,Apprentissage
9,4757,family,https://a.ltrbxd.com/resized/film-poster/6/9/1/4/2/69142-how-to-train-your-dragon-2-0-230-0-345-crop.jpg?v=948eb92628,Apprentissage
10,4738,family,https://a.ltrbxd.com/resized/film-poster/4/7/2/7/5/47275-asterix-in-britain-0-230-0-345-crop.jpg?v=40d0eaf88f,Apprentissage
11,4692,family,https://a.ltrbxd.com/resized/film-poster/4/7/1/1/1/47111-a-bug-s-life-0-230-0-345-crop.jpg?v=30ec62f056,Apprentissage
12,4688,family,https://a.ltrbxd.com/resized/film-poster/2/0/1/9/0/9/201909-moana-0-230-0-345-crop.jpg?v=cfeffc2eaa,Apprentissage
13,4676,family,https://a.ltrbxd.com/resized/film-poster/4/7/1/5/3/47153-anastasia-0-230-0-345-crop.jpg?v=e335cab98c,Apprentissage
14,4633,family,https://a.ltrbxd.com/resized/film-poster/4/1/7/5/1/41751-my-neighbors-the-yamadas-0-230-0-345-crop.jpg?v=c1bae0cfb6,Apprentissage
15,4624,family,https://a.ltrbxd.com/resized/film-poster/4/1/9/6/3/41963-the-three-caballeros-0-230-0-345-crop.jpg?v=482dc532ae,Apprentissage
16,4614,family,https://a.ltrbxd.com/resized/sm/upload/9o/zo/eb/3q/9NsjFw5NEBppIb7KUDQa4010jKT-0-230-0-345-crop.jpg?v=3a47734a51,Apprentissage
17,4612,family,https://a.ltrbxd.com/resized/film-poster/5/3/4/0/5/3/534053-togo-0-230-0-345-crop.jpg?v=cc490a94af,Apprentissage
18,4593,family,https://a.ltrbxd.com/resized/sm/upload/kp/fy/19/ef/qMLawqLCsfzVwX8pLtQvwP4sJXj-0-230-0-345-crop.jpg?v=93ab57abc4,Apprentissage
19,4582,family,https://a.ltrbxd.com/resized/film-poster/3/4/0/2/7/34027-yours-mine-and-ours-0-230-0-345-crop.jpg?v=8929407023,Apprentissage
20,4518,family,https://a.ltrbxd.com/resized/film-poster/4/3/7/5/1/43751-labyrinth-0-230-0-345-crop.jpg?v=608378d65b,Apprentissage
21,4516,family,https://a.ltrbxd.com/resized/film-poster/5/0/2/9/1/50291-the-bear-0-230-0-345-crop.jpg?v=09feb25fbe,Apprentissage
22,4512,family,https://a.ltrbxd.com/resized/film-poster/4/4/7/5/8/44758-the-land-before-time-0-230-0-345-crop.jpg?v=9a583dc0d2,Apprentissage
23,4469,family,https://a.ltrbxd.com/resized/film-poster/5/9/3/2/8/2/593282-roald-dahl-s-matilda-the-musical-0-230-0-345-crop.jpg?v=d0fb13284e,Apprentissage
24,4466,family,https://a.ltrbxd.com/resized/film-poster/5/7/5/7/0/4/575704-john-mulaney-the-sack-lunch-bunch-0-230-0-345-crop.jpg?v=d18f2a9a00,Apprentissage
25,4406,family,https://a.ltrbxd.com/resized/film-poster/4/7/3/6/6/47366-the-sword-in-the-stone-0-230-0-345-crop.jpg?v=1983eb1914,Apprentissage
26,4397,family,https://a.ltrbxd.com/resized/film-poster/2/6/2/1/2/26212-war-of-the-buttons-0-230-0-345-crop.jpg?v=043408e0e1,Apprentissage
27,4380,family,https://a.ltrbxd.com/resized/sm/upload/ol/eg/eb/q2/zEwEXGDvJ8Ou2s6XbLMPvMTX53S-0-230-0-345-crop.jpg?v=fcc364f39d,Evaluation
